istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
,,,,,,,,,,19582,TOI-813,13,TESS,04_02_2021_12_16_12,3.0848479999999654,0
21970,21973,3516091,3516094,2041.3643639988943,2041.3650584538757,1.8694230641586205,0.056515909254763796,0.06317322575929207,0.0006944549813852063,94205.0,TOI-813,27,TESS,04_02_2021_12_17_30,65.12985299999991,0
55271,55274,3558165,3558168,2051.103865779521,2051.1045602356357,1.6923493923852682,0.06487607445995684,0.04463320261644488,0.0006944561146156047,94205.0,TOI-813,27,TESS,04_02_2021_12_17_30,65.12985299999991,0
,,,,,,,,,,15695,TOI-813,27,TESS,04_02_2021_12_17_34,2.433514999999943,1
76221,76224,3692069,3692072,2082.1006248489416,2082.101319302249,1.9201747870333254,0.06261309025758967,0.05296423199006295,0.0006944533074602077,91649.0,TOI-813,28,TESS,04_02_2021_12_18_58,59.63932499999987,0
,,,,,,,,,,15162,TOI-813,28,TESS,04_02_2021_12_19_03,2.52498700000001,1
,,,,,,,,,,14919,TOI-813,29,TESS,04_02_2021_12_19_21,2.6635969999999816,0
,,,,,,,,,,16268,TOI-813,30,TESS,04_02_2021_12_19_46,4.9209840000000895,0
,,,,,,,,,,16741,TOI-813,31,TESS,04_02_2021_12_20_08,2.566090000000031,0
,,,,,,,,,,17980,TOI-216,2,TESS,04_02_2021_12_20_52,2.644262000000026,0
,,,,,,,,,,13197,TOI-216,3,TESS,04_02_2021_12_21_11,1.9973130000000765,0
,,,,,,,,,,15539,TOI-216,4,TESS,04_02_2021_12_21_33,2.5935669999998936,0
,,,,,,,,,,17717,TOI-216,5,TESS,04_02_2021_12_21_57,3.0788880000000063,0
,,,,,,,,,,14569,TOI-216,6,TESS,04_02_2021_12_22_18,2.0999360000000706,0
,,,,,,,,,,16198,TOI-216,7,TESS,04_02_2021_12_22_42,3.0309679999998025,0
,,,,,,,,,,13244,TOI-216,8,TESS,04_02_2021_12_23_05,2.6589930000000095,0
,,,,,,,,,,14805,TOI-216,9,TESS,04_02_2021_12_23_26,3.5713560000001507,0
,,,,,,,,,,15752,TOI-216,11,TESS,04_02_2021_12_23_50,2.9625220000000354,0
126,129,286331,286334,1625.1367213437343,1625.1408880451258,4.0672917416137535,0.575188564753245,0.013534551237943226,0.004166701391568495,18762.0,TOI-216,12,TESS,04_02_2021_12_24_14,4.761555000000044,0
,,,,,,,,,,19325,TOI-216,13,TESS,04_02_2021_12_24_40,4.873953999999912,0
7475,7478,3501596,3501599,2038.0091611396167,2038.009855593424,9.547425586576825,0.12648481833235195,0.3561416759318097,0.0006944538072275463,92484.0,TOI-216,27,TESS,04_02_2021_12_25_53,51.60095100000012,0
,,,,,,,,,,15407,TOI-216,27,TESS,04_02_2021_12_25_58,3.29358400000001,1
44072,44075,3648715,3648718,2072.0648847163934,2072.065579167168,11.512581027724824,0.15757675402216306,0.28803954408575727,0.0006944507745174633,88634.0,TOI-216,28,TESS,04_02_2021_12_27_25,57.915164000000004,0
76307,76310,3694549,3694552,2082.6747163348336,2082.6754107851425,63.341775448042554,0.11213869225576818,3.0567984565150326,0.000694450308856176,88634.0,TOI-216,28,TESS,04_02_2021_12_27_25,57.915164000000004,0
,,,,,,,,,,14760,TOI-216,28,TESS,04_02_2021_12_27_28,2.1358880000000227,1
65956,65959,3802101,3802104,2107.571196468579,2107.5718909163884,2.2545685674075013,0.16443788560849135,0.05252583852351078,0.0006944478095647355,86786.0,TOI-216,29,TESS,04_02_2021_12_28_40,37.87170500000002,0
,,,,,,,,,,14435,TOI-216,29,TESS,04_02_2021_12_28_43,2.4187919999999394,1
,,,,,,,,,,97069,TOI-216,30,TESS,04_02_2021_12_29_46,35.428609999999935,0
,,,,,,,,,,16162,TOI-216,30,TESS,04_02_2021_12_29_50,2.625235999999859,1
,,,,,,,,,,97343,TOI-216,31,TESS,04_02_2021_12_30_45,32.12489400000004,0
,,,,,,,,,,16204,TOI-216,31,TESS,04_02_2021_12_30_49,2.298678000000109,1
,,,,,,,,,,14148,HATS-4,6,TESS,04_02_2021_12_31_09,2.2870040000000245,0
,,,,,,,,,,12630,WASP-54,23,TESS,04_02_2021_12_31_28,2.2225129999999353,0
,,,,,,,,,,15730,WASP-129,10,TESS,04_02_2021_12_31_47,2.454371999999921,0
,,,,,,,,,,15037,WASP-17,12,TESS,04_02_2021_12_32_09,2.962299999999914,0
,,,,,,,,,,16531,KELT-3,21,TESS,04_02_2021_12_32_32,3.481608999999935,0
,,,,,,,,,,11686,KELT-20,14,TESS,04_02_2021_12_32_52,2.3961799999999585,0
