istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
14132,14139,85751,85758,1346.55945849875,1346.56918042682,1.13045073694878,0.042978823683858,0.00203129482533,0.009721928069666,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
14514,14517,86142,86145,1347.10249748267,1347.10666402115,0.249862511744588,0.028811063319721,0.000762075572811,0.004166538472418,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,marginal detection,1
14599,14602,86236,86239,1347.23304901296,1347.2372155505,0.223270305325116,0.033114611464382,0.000759949231159,0.004166537541323,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,transit edge,1
14606,14610,86243,86247,1347.24277093451,1347.24832631852,0.346049802904866,0.039298526017787,0.00084154093707,0.005555384009767,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,transit edge,1
14625,14633,86262,86270,1347.26915900762,1347.28026977518,0.936054474279468,0.069929872215559,0.001233327421731,0.011110767554328,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,flare in transit,1
14705,14717,86350,86365,1347.39137744193,1347.41221012771,2.27730834995865,0.108791485590718,0.002100205666144,0.020832685788719,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,transit edge,1
14803,14808,86493,86499,1347.58998236407,1347.59831543661,0.657032878372003,0.049859363345465,0.001876477090778,0.008333072545611,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0.5,marginal detection,0
14879,14884,86580,86585,1347.71081191435,1347.71775614093,0.542974144140296,0.036668082980364,0.001102416694652,0.006944226578298,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
14910,14915,86642,86659,1347.79692032104,1347.82053068945,2.64670030395339,0.18124794614496,0.001415450185917,0.023610368410346,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15175,15180,87151,87156,1348.50384230991,1348.51078653137,0.551850296123978,0.035278355650583,0.001360625364286,0.006944221456251,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15203,15207,87196,87200,1348.56634030302,1348.5718956799,0.431738816529339,0.039351782382075,0.00133865017884,0.005555376885241,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15266,15270,87451,87457,1348.92049553348,1348.92882859625,0.642333086624038,0.057971153826595,0.001196715005487,0.008333062767178,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15281,15287,87468,87474,1348.94410587814,1348.95243894091,0.656497534119104,0.038483987017551,0.001723025341413,0.008333062766724,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15305,15315,87501,87548,1348.98993772289,1349.0552133772,6.19237298415226,0.168238094417648,0.001976298479458,0.065275654305879,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15321,15324,87554,87557,1349.06354643904,1349.06771296995,0.378350122803737,0.014241881071192,0.001733712884191,0.004166530916791,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15338,15343,87598,87609,1349.1246555587,1349.13993283827,0.791360111421045,0.053046899263947,0.000741861709978,0.015277279566362,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15348,15372,87654,87727,1349.20243079738,1349.30381636814,10.5103670500124,0.121988607580097,0.006763828148487,0.10138557076607,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15472,15484,87834,87848,1349.45242260122,1349.47186640612,2.36836921905453,0.060223264030066,0.00338917970834,0.019443804895673,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
15592,15595,87967,87970,1349.63713873447,1349.64130526352,0.219938615807472,0.0311249775364,0.000871020611238,0.004166529054601,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
15710,15729,88096,88115,1349.81629946987,1349.84268748272,3.02894866149632,0.071425075095984,0.002346142286562,0.026388012848656,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
15853,15924,88239,88310,1350.01490397618,1350.11351179727,25.3873505088699,0.12793374070551,0.007461742949321,0.098607821090127,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has longer tail,0
15947,15960,88333,88346,1350.14545517396,1350.16351012591,6.72583919954098,0.031263813677225,0.014180035060452,0.018054951944123,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
16046,16083,88432,88469,1350.28295057085,1350.33433773568,14.5975094277461,0.030329397309658,0.008432716086043,0.051387164827247,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
16236,16241,88623,88628,1350.54821941785,1350.55516362768,0.361505489652124,0.038532551711285,0.001131479240984,0.006944209836092,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
16270,16280,88657,88667,1350.59544004408,1350.60932846282,1.03406478139315,0.066328340757348,0.00098393094913,0.013888418740862,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,Gradual like a spot,1
