"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
48353358,"Kepler-1651","Kepler",14,1315.51717207261,1315.52398328355,0.006936137545286,1.69399254346202,0.08760331675677,0.156552096490497,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1323.27035914883,1323.27444593859,0.007770445271484,1.62435547155613,0.069907089107679,0.941395731610839,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1288.6222333952,1288.62563914665,0.002686084276758,0.666800829129246,0.084410402051902,0.434017320740496,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1327.464681933,1327.46944981065,0.003877860236185,0.960449236220616,0.081365412214782,0.365980809776959,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1330.44524734335,1330.44797172635,0.003683799521403,0.655927037126392,0.06428386128092,0.667699028152525,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1330.93701289013,1330.94109956335,0.006802853878707,1.38701021392275,0.069827790669949,0.717479725505376,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1332.50766496897,1332.51038954894,0.002269145597476,0.500263039755776,0.068035120730979,0.876474507257733,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1335.0373248708,1335.04890387021,0.019062224452956,6.13527298312594,0.099926073240833,0.132548229386168,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1338.86586424234,1338.87199427715,0.005495528941649,1.87534652694076,0.105867516876264,0.52010559489539,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1341.07539315193,1341.07743652772,0.00310326345787,0.463522934467172,0.056073602969376,0.74377293121219,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1350.06264724073,1350.07422615307,0.006890345982014,4.07765247428902,0.145258122807786,0.653539340749216,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1328.78672944098,1328.78945392608,0.0043552897542,0.753322600901436,0.065452564374965,0.499809719329056,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1283.27535288836,1283.27807733609,0.002726696235698,0.519127823408353,0.064544324191665,0.892760532753851,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1281.74076167395,1281.74484844846,0.006269845153486,1.09453784646055,0.084558952423043,0.737416138854788,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1275.21550262714,1275.21822728418,0.003990418741879,0.611888012662635,0.073710340720206,0.076873837984887,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1392.32643358838,1392.34141771515,0.008184876786235,3.20850709260544,0.14799067539101,0.93183978480202,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1391.53704025166,1391.54112682326,0.005500390394793,0.972348735579674,0.073135468285131,0.851930667449789,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1386.16725435828,1386.17065975571,0.004563714298435,0.733723710521603,0.06663771460733,0.308355201134996,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1385.09247887389,1385.09588437226,0.002917742269601,0.637386045839363,0.069162707134677,0.199557271998439,"2022_08_02"
