tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Beat Period,Both Sectors,high energy half,0.023177364396976,0.912696106060515,0.130233400758325,0.082321867773061,0.130233400758325,0.164561127085039,71,48.4490740740741,0.5
2021-11-10,Beat Period,Both Sectors,high energy half,0.036081284509235,0.811918192578721,0.117329480646066,0.130930429649929,0.117329480646066,0.261311908447666,71,48.4490740740741,0.6
2021-11-10,Beat Period,Both Sectors,high energy half,0.04631911452918,0.71556695284919,0.107091650626121,0.182843740004895,0.107091650626121,0.363553975392145,71,48.4490740740741,0.7
2021-11-10,Beat Period,Both Sectors,high energy half,0.031608045579816,0.850073378799134,0.121802719575485,0.11208504369066,0.121802719575485,0.223878681991844,71,48.4490740740741,0.8
2021-11-10,Beat Period,Both Sectors,high energy half,0.124477155959648,0.101858238413522,0.028933609195653,0.871233814151215,0.124477155959648,0.203519253466259,71,48.4490740740741,0.9
2021-11-10,Beat Period,Sector 1,high energy half,0.04903050153293,0.806843748792791,0.126924889320682,0.270811905317315,0.126924889320682,0.531399165451147,38,25.1305555555556,0
2021-11-10,Beat Period,Sector 1,high energy half,0.06473503865777,0.697741749918864,0.111220352195843,0.363714763977466,0.111220352195843,0.693607389742708,38,25.1305555555556,0.1
2021-11-10,Beat Period,Sector 1,high energy half,0.138789828556137,0.211307276742284,0.037165562297476,0.879207280559811,0.138789828556137,0.418906386798933,38,25.1305555555556,0.2
2021-11-10,Beat Period,Sector 1,high energy half,0.121020053172613,0.303924158147755,0.054935337680999,0.767390826501996,0.121020053172613,0.591499712759378,38,25.1305555555556,0.3
2021-11-10,Beat Period,Sector 1,high energy half,0.04724741554339,0.818485089383505,0.128707975310222,0.261263687783904,0.128707975310222,0.513694839313457,38,25.1305555555556,0.4
2021-11-10,Beat Period,Sector 1,high energy half,0.034727999394972,0.892194386966019,0.14122739145864,0.200264631184857,0.14122739145864,0.397553792331798,38,25.1305555555556,0.5
2021-11-10,Beat Period,Sector 1,high energy half,0,1,0.175955390853612,0.084286357934267,0.175955390853612,0.168489973912245,38,25.1305555555556,0.6
2021-11-10,Beat Period,Sector 1,high energy half,0.016725521109062,0.969102916665059,0.15922986974455,0.130919842532024,0.15922986974455,0.261323540101399,38,25.1305555555556,0.7
2021-11-10,Beat Period,Sector 1,high energy half,6.9810870716086E-05,0.999930008580874,0.175885579982896,0.084449148585206,0.175885579982896,0.168814885848633,38,25.1305555555556,0.8
